pair_id,candidate_a,candidate_b,valid,winner_anonymous,decision_basis,median_log_ratio_A_over_B,n_metrics_A_better,n_metrics_B_better,delta_far_profile_nu_blind,delta_far_profile_r2_blind,delta_far_profile_coeff_A_minus_B_blind,delta_far_profile_boundary_hit_blind,delta_source_monopole_A_minus_B_blind,delta_source_monopole_fraction_abs_blind,delta_pressure_ladder_n_blind,delta_pressure_ladder_nu_span_blind,delta_pressure_ladder_monopole_rel_span_blind
PAIR_E705C0C9396E,CAND_85898986CF566DCE,CAND_F46D2D17511CCA90,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.0795670181071608,3,1,nan,nan,nan,True,nan,nan,0,nan,nan
PAIR_5C5DAD58291F,CAND_4BBDDB82986FA75D,CAND_1ABF44CAA6964A46,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.09859887257335118,3,1,nan,nan,nan,True,nan,nan,0,nan,nan
PAIR_E07158B123C7,CAND_7B34EF3E47108CA1,CAND_032483853FACF38F,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.09963095363850324,3,1,nan,nan,nan,True,nan,nan,0,nan,nan
PAIR_145C56601B79,CAND_BEF7C9B3CC7E6569,CAND_D7683CB1ED65050E,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.14166652691750475,4,0,nan,nan,nan,True,nan,nan,0,nan,nan
PAIR_5907A9476FC0,CAND_C8C49852B891CA0E,CAND_6A4081F3477A73FE,True,B,FULL_HORIZON_PRIMARY_METRICS,0.07956597827757214,1,3,nan,nan,nan,True,nan,nan,0,nan,nan
PAIR_2306F5298DFC,CAND_855DF0A35DFDE57D,CAND_15AFC3A0118C7618,True,B,FULL_HORIZON_PRIMARY_METRICS,0.03634970561286415,1,3,nan,nan,nan,True,nan,nan,0,nan,nan
PAIR_DE0E9CA34251,CAND_21C8CEE74139D2A8,CAND_737244D9D7FC6EB9,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.07956597827757217,3,1,nan,nan,nan,True,nan,nan,0,nan,nan
PAIR_47CBE9EBF740,CAND_89F588EC0F0ABF71,CAND_94E3CD041614C67E,True,B,FULL_HORIZON_PRIMARY_METRICS,0.03634970561286415,1,3,nan,nan,nan,True,nan,nan,0,nan,nan
PAIR_3D84FEB7996F,CAND_C4AD84A4B2C61539,CAND_11CD7803EC9E3E5C,True,A,FULL_HORIZON_PRIMARY_METRICS,-0.14146704470994637,4,0,nan,nan,nan,True,nan,nan,0,nan,nan
PAIR_928C60B403EF,CAND_DBE6613141A571B6,CAND_B347A428744ACDFA,True,B,FULL_HORIZON_PRIMARY_METRICS,0.03634970561286415,1,3,nan,nan,nan,True,nan,nan,0,nan,nan
PAIR_F7F97212F3DB,CAND_071534A000FEA096,CAND_3D5B11D1002FB300,True,B,FULL_HORIZON_PRIMARY_METRICS,0.09963095363850324,1,3,nan,nan,nan,True,nan,nan,0,nan,nan
PAIR_94B536850B2B,CAND_5530931163A88249,CAND_2A48D356D35592B4,True,B,FULL_HORIZON_PRIMARY_METRICS,0.14133927225214485,0,4,nan,nan,nan,True,nan,nan,0,nan,nan
